KLHL21,LZIC,NLRP6,HBA1,NFIX,DLX2,MIR663AHG,PXK,Results
408.3789487,119.0824941,162.8133535,422.5073802,173.5778728,4.709477168,956.0238652,297.3698441,1
253.3197731,118.4352186,81.15005718,87.72979155,100.8892603,1.096622394,652.4903246,233.58057,1
532.4446403,122.6867921,180.4217531,258.2035756,139.5261557,4.009372291,230.1379695,304.7122942,1
391.0745683,132.3637,409.1241638,93.85789639,57.75870547,1.203306364,454.8498056,204.5620819,1
399.819591,139.6018125,136.251369,751.6161585,211.0779405,7.8177015,64.775241,385.3010025,1
431.6825641,135.1808722,197.1698909,842.4531701,203.1447361,3.734278236,424.9608633,297.2485476,1
338.6340708,110.0722601,122.3744539,325.0369093,71.22322713,1,380.0730393,288.1303279,1
369.0346746,80.72633507,196.0496709,98751.37245,749.6016828,1,2387.193051,322.9053403,1
256.4293024,158.3172215,145.4957563,127.6571962,52.95822549,1,342.8348282,307.1577078,1
566.3539998,116.8666984,171.9288928,402.2911348,187.6609484,3.371154761,1415.885,206.7641587,1
333.7185059,109.7758243,84.30783308,432.0776445,121.1925101,1.756413189,971.2964936,249.4106729,1
306.4786083,137.2768766,257.5271639,55.33641539,62.78554824,1,226.6664707,274.5537533,1
339.8626437,155.7703784,169.9313219,165229.8886,481.4720786,1,2209.107184,368.1845307,1
321.6298536,118.6762561,139.315605,623.4803311,100.6168258,1.719945741,600.2610636,276.9112643,1
215.0465588,119.4703105,82.30176944,56.63777682,25.66399262,1,467.2616587,187.6126357,1
487.4461209,116.3919822,222.2824322,228.8458898,165.3991326,1.312691529,508.0116215,226.6580706,1
309.1477909,157.3843299,230.4556259,33860.11441,50.58782033,1,1382.733756,224.834757,1
254.3137316,138.8805485,122.6477571,55.91294809,97.39674828,3.607286973,23.44736533,259.7246621,1
393.7534201,88.24229188,120.1281621,458.2666923,72.67012273,2.966127458,1357.003312,267.6930031,1
394.3591134,117.3561973,282.2892313,901.845372,51.8058889,1.057263039,463.081211,227.3115533,1
235.2632116,112.1505632,67.45898541,29.51330612,64.92927345,1,86.01020639,193.1013457,1
474.0517692,138.0380631,139.2489233,606.6409613,97.47424628,2.421720404,309.9802118,347.516878,1
330.3584143,117.0775699,232.3399837,1132.65742,311.299275,9.075780613,1056.420863,190.5913929,1
407.3633492,118.4761932,180.1487321,624.8401969,135.5172895,1,835.0137177,294.5675214,1
308.9096224,118.4858826,242.61395,7327.787619,167.8550003,7.052731106,1056.49912,289.1619753,1
1136.36105,126.8752628,665.6354369,467.048069,182.0384206,3.67754385,412.8042972,707.9271911,1
222.8792296,129.0353434,41.05670019,1274.712787,82.11340037,1,737.0655224,224.8343105,1
544.313046,98.0505487,169.0709461,240.0913436,95.40053387,1,524.7029363,307.4017203,1
245.6873439,121.4787423,117.3839532,51.86732815,76.43606254,1,637.4221644,267.5262189,1
308.1825037,128.4093765,101.1710239,842.8324532,203.1202865,5.447670519,388.3410842,277.0529578,1
397.4776156,110.0707243,169.6923667,412.7652162,142.1746856,1,430.3459569,259.8892102,1
589.7392303,109.2544789,371.2302725,491.0577655,148.0221973,25.84514555,240.8297654,619.1087139,1
231.2666475,96.36110311,211.9944268,119613.0373,587.802729,9.636110311,1985.038724,279.447199,1
336.5127303,142.9743206,115.0768922,169.1281598,85.43587453,3.487178552,183.076874,357.4358016,1
420.2725143,129.0724576,135.368675,319.5330352,161.340572,1,290.4130295,236.8951813,1
218.0172012,140.5291598,47.28083882,550.2964296,63.04111843,1.970034951,717.0927221,333.592585,1
310.6655257,113.1946197,202.4283346,530.4448604,93.36490533,1,78.49261953,257.7862873,1
522.8323972,157.1519344,181.3291551,586.2976015,256.8829697,1,803.8925877,265.9494275,1
245.4065565,104.0133749,86.13607611,2574.331029,118.6402558,4.875626949,469.6853961,286.036781,1
250.3288121,115.4366025,115.4366025,230.8732049,77.82242862,1,543.4599599,175.1004644,1
164.4927144,157.9503905,114.9579765,120.5656827,117.7618296,1.869235391,1038.36026,284.1237794,1
389.1091962,106.6912312,182.0026886,7389.936751,84.7253895,6.275954778,668.3891838,197.6925755,1
307.8441086,127.2350431,286.8179786,55.53054848,69.54796848,1,222.1221939,267.4092432,1
215.9605658,166.6247469,114.4963345,774.4792706,430.0594027,1,2729.294737,277.3976234,1
385.8834067,118.4626872,290.8786774,6337.167314,96.1776272,3.518693678,1243.271766,222.8505996,1
218.8757784,160.1530086,113.4417144,28.69408071,68.73233286,1.334608405,121.4493649,208.1989112,1
395.5771264,116.0525955,124.787737,5580.507601,141.0101429,1.24787737,457.970995,260.8063704,1
434.4496898,162.0643787,228.4521964,4231.247091,213.8078249,1,1430.266956,219.6655735,1
390.4524853,126.4936977,198.1304347,212.3287069,92.93414525,1,373.672709,296.227588,1
293.7169567,153.4342311,226.0110579,559.1825311,129.0795912,6.332206362,314.1748541,271.7977808,1
271.041918,152.0992511,96.8382775,381.5638651,91.04903264,1.052589973,167.8881007,253.6741834,0
298.4043093,213.1459352,147.5625705,28335.29271,144.2834023,1,780.4420397,200.0292623,0
343.6369211,112.5707155,101.3794748,48.05650429,39.49849667,1,72.41391057,246.8656042,0
271.0089456,129.612974,42.22240819,51.05965642,108.0108117,1.963832939,91.31823168,229.7684539,0
379.5967467,109.0795249,125.4414536,47.99499096,38.17783371,1.090795249,70.90169118,245.428931,0
205.7270191,149.0039315,71.96212602,31.32469015,76.19519225,1,75.34857901,180.3286217,0
485.1479808,116.894987,197.3025214,207.4379249,95.27279289,2.702774266,185.1400372,322.3058313,0
296.9448023,145.0195546,149.62335,47.18890269,72.50977731,2.301897692,47.18890269,252.0577973,0
198.4123391,135.2811403,94.69679821,38.32965642,45.65738485,1,197.8486677,190.5209393,0
229.3004877,118.1244936,70.87469619,30.57339835,79.21289574,4.169099776,23.62489873,230.6901876,0
294.0515912,148.7555108,166.9175209,51.02659965,112.4314908,1,53.62117251,253.403283,0
364.68398,118.7622172,251.9198546,1233.207669,286.7087869,13.19580191,530.231313,283.1099318,0
500.095314,124.3391416,187.8780862,1417.575764,160.4906101,1,203.2150728,329.197463,0
399.5032196,106.7902837,163.6426649,292.7129359,96.80270321,1.536550845,766.7388714,255.8357156,0
263.1726205,134.9603182,93.12261957,53.98412729,157.9035723,1,85.02500048,201.0908741,0
513.7115232,108.3534663,295.0697073,511.7766398,296.0371489,1.934883326,2354.753008,240.8929741,0
521.7995636,98.15316826,370.2395244,43.30286835,115.4743156,1,163.8291853,272.8080706,0
329.373008,143.927701,73.34777068,55.35680806,154.9990626,1,26.29448383,318.3016463,0
320.9684808,132.9351746,164.4198212,37.60666124,37.60666124,1,72.58960192,244.0060113,0
414.8111878,95.55065752,189.5846379,21.23347945,70.52548531,1.516677103,152.4260489,272.2435401,0
292.6605965,160.4548444,162.7147718,27.11912863,53.67327542,1,192.0938278,227.1227023,0
154.2903961,133.1547254,20.07888717,31.70350605,32.76028959,1,155.8755714,150.5916538,0
294.7984292,151.4653998,127.0682884,102.6711771,40.6618523,1.016546308,312.0797164,351.7250224,0
271.4700958,129.8969813,89.51702084,42.81248823,86.111482,1,65.67824899,243.7392796,0
390.9959465,129.9553001,117.5247932,32.77133656,48.59198179,1,28.2511522,245.2200011,0
256.4876732,144.7770141,134.0527909,49.15268998,87.58115669,1,84.90010087,252.0192468,0
283.3986089,124.3483692,166.7617664,36.62975217,91.57438042,1,81.93497195,274.7231412,0
485.1834573,118.8489737,152.406331,583.0590827,152.406331,11.18578576,542.5106093,233.5032777,0
389.3816167,134.896334,123.415795,47.83557944,69.83994598,1,72.71008075,329.1087866,0
302.6081069,112.8025756,103.3460722,27.01858098,77.00295578,1.350929049,29.04497455,208.718538,0
594.9358343,143.325451,302.8764247,1083.053644,246.0870951,2.704253792,1135.786593,274.4817599,0
355.3619255,118.4539752,129.3366725,601.0597468,246.5349519,2.5113917,744.2090737,211.3754681,0
263.006635,203.61804,186.64987,29880.94736,175.3377566,1,3003.366089,254.52255,0
214.9120171,143.8523986,108.3225893,704.5301207,144.7189793,10.39896857,220.9780821,207.1127907,0
388.4275862,81.44449389,125.2992214,79214.16775,294.4531702,1,1547.445384,325.7779756,0
95.68287945,278.1479054,5.006662297,8.344437161,10.01332459,1,38.38441094,134.6235862,0
244.442212,130.8176975,27.65859891,46.34684141,82.97579673,1,101.6640392,190.6200736,0
